zh-CN,zh-TW,en,ja,ko,fr,de,it,es,pt,ru,th,vi,id
碾骨劫掠者,碾骨劫掠者,Bonekrusher Raider,ボーンクラッシャーの略奪者,본 크러셔 약탈자,Pillard Broyeur d'os,Knochenbrecher-Plünderer,Predone Spacca-Ossa,Asaltante Rompehuesos,Invasor Quebra-Ossos,Захватчик Костоломов,นัก​ปล้น​แห่ง​โบน​ค​รัช​เชอร์,Đạo Tặc Bonekrusher,Bonekrusher Raider
碾骨撕裂牙兽,碾骨撕裂牙獸,Bonekrusher Ripptusk,骨砕牙獣,본 크러셔 립터스크,Lycarne Broyeur d'os,Knochenbrecher-Reißbestie,Sanguizanna degli Spacca-Ossa,Colmillo desgarrador Rompehuesos,Rasga-Presa Quebra-Ossos,Рваноклык Костоломов,ริ​ปทัส​ค์​โบน​ค​รัช​เชอร์,Ripptusk Bonekrusher,Bonekrusher Ripptusk
碾骨破城者,碾骨破城者,Bonekrusher Siegeknuckles,ボーンクラッシャーの攻城者,본 크러셔 파괴자,Phalange de siège Broyeur d'os,Knochenbrecher-Belagerungsfaust,Noccassalto Spacca-Ossa,Nudillos de asedio de Rompehuesos,Socador Quebra-Ossos,Осадный кастетчик Костоломов,โบน​ค​รัช​เชอร์​อันเป็น​หมัด​แห่ง​ป้อมปราการ,Người Công Thành Bonekrusher,Bonekrusher Siegeknuckle
碾骨先锋,碾骨先鋒,Bonekrusher Vanguard,ボーンクラッシャーの先鋒,본 크러셔 돌격수,Avant-garde Broyeur d'os,Knochenbrecher-Vorhut,Avanguardia Spacca-Ossa,Vanguardia Rompehuesos,Vanguarda Quebra-Ossos,Штурмовик Костоломов,โบน​ค​รัช​เชอร์​ นักรบ​แนวหน้า,Bonekrusher Tiên phong,Bonekrusher Vanguard
碾骨战营,碾骨戰營,Bonekrusher Warcamp,骨砕野営地,본 크러셔 캠프,Camp de guerre de Broyeurs d'os,Knochenbrecher-Kriegscamp,Accampamento bellico degli Spacca-Ossa,Campamento de guerra Rompehuesos,Acampamento de Guerra dos Quebra-Ossos,Военный лагерь Костоломов,ค่าย​ศึก​โบน​ค​รัช​เชอร์,Trại Chiến Tranh Bonekrusher,Kamp Perang Bonekrusher
生机盆景,生機盆景,Bonsai of Life,生命力の盆栽,생명 분재,Bonsaï de la vie,Bonsai des Lebens,Bonsai della vita,Bonsái de la vida,Bonsai da Vida,Бонсай жизни,บอนไซ​แห่ง​ชีวิต,Cây Cảnh Sự Sống,Bonsai Kehidupan
领袖,領袖,Boss,ボス,보스,Boss,Boss,Boss,jefe,Chefe,босс,บอส,Boss,Bos
弹射装置,彈射裝置,Bounce Device,発射装置,점프형 장치,Dispositif de rebond,Sprungmodul,Dispositivo di rimbalzo,Dispositivo de impulso,Dispositivo de Salto,Батут,อุปกรณ์​เด้ง​ดึ๋ง,Thiết Bị Bật Nhảy,Perangkat Pantul
需要激活的弹射装置,需要啟動的彈射裝置,Bounce Device: Activation,発射装置の起動,활성화가 필요한 점프형 장치,Dispositif de rebond : activation,Sprungmodul: Aktivierung,Dispositivo di rimbalzo: attivazione,Dispositivo de impulso: activación,Dispositivo de Salto: Ativação,Батут: активация,อุปกรณ์​เด้ง​ดึ๋ง​: การ​เปิด​ใช้งาน,Thiết Bị Bật Nhảy: Kích Hoạt,Perangkat Pantul: Aktivasi
界龙,界龍,Boundary Lung,界龍,계룡,Lung limitrophe,Grenz-Lung,Dragone del confine,Lung limítrofe,Lung da Fronteira,Пограничный лун,หลง​ขอบเขต,Long Ranh Giới,Lung Batas
无边征程,無邊征程,Boundless Crusade,終なき遠征,끝없는 원정,Croisade sans limite,Unendlicher Kreuzzug,Eterna crociata,Cruzada sin límites,Cruzada Sem Limites,Бесконечная миссия,สงคราม​ครู​เสด​ไร้​ขอบเขต,Thập Tự Chinh Vô Tận,Perang Suci Tanpa Batas
天使的赠礼（第十五期）,天使的贈禮（第十五期）,Bounties from the Aggeloi (Issue 15),『アンゲロスの贈り物』（第15号）,아겔로스의 선물(제15편),Bienfaits aggeloïdes (numéro 15),Spezialitäten der Aggeloi (Ausgabe 15),L'angolo degli Aggeloi (Numero 15),Recompensas de los Aggeloi (Solicitud 15),Recompensas dos Aggeloi (Edição 15),Дары аггелов (выпуск 15),รางวัล​จาก​แอง​เกลอ​ย​ (ฉบับ​ที่​ 15),Tiền Thưởng Từ Aggeloi (Tập 15),Hadiah dari Aggelos (Edisi 15)
归枝,歸枝,Branch of Homecoming,帰枝,근원으로의 회귀,Branche du foyer,Zweig der Heimkehr,Ramo del ritorno a casa,Rama del Regreso a casa,Galho da Volta Para Casa,Ветвь возвращения домой,กิ่งไม้​แห่ง​การ​หวนคืน,Cành Quy Hương,Cabang Kepulangan
断云叟,斷雲叟,Breaking Gust,断雲翁,단운수,Bourrasque dévastatrice,Zerstörerische Bö,Folata frantumante,Ráfaga devastadora,Rajada Intensa,Сокрушающий порыв,ลม​กรรโชก,Cuồng Phong Xé Toạc,Breaking Gust
耶尔什微风,耶爾什微風,Breeze of Kjersch,イェルシェのそよ風,옐시의 산들바람,Souffle de Kjersch,Brise von Kjersch,Brezza di Kjersch,Brisa de Kjersch,Brisa de Kjersch,Дыхание Кьерша,สายลม​แห่ง​ค​เ​ยิ​ร์​ช,Làn Gió Của Kjersch,Semilir Kjersch
舰桥,艦橋,Bridge,ブリッジ,갑판,Pont,Brücke,Ponte,Puente,Ponte,Мостик,สะพาน,Cầu Tàu,Anjungan Komando
桥头工事,橋頭工事,Bridge Approach,橋頭建設場,다리 입구 공사장,Voie d'accès au pont,Brückenzugang,Avvicinamento al ponte,Aproximación al puente,Acesso à Ponte,У моста,เส้นทาง​ผ่าน​สะพาน,Đầu Cầu,Transisi Jembatan
桥头区营地,橋頭區營地,Bridge Approach Camp,橋頭野営地,다리 입구 구역 캠프,Camp de la voie d'accès au pont,Brücken-zugangscamp,Accampamento dell'avvicinamento al ponte,Campamento de aproximación al puente,Acampamento de Acesso à Ponte,Лагерь у моста,ค่าย​เส้นทาง​ผ่าน​สะพาน,Trại Đầu Cầu,Kamp Transisi Jembatan
大桥升降控制台零件,大橋升降控制台零件,Bridge Elevator Control Panel Parts,橋梁昇降制御装置部品,다리 제어기 부품,Pièces du panneau de contrôle de l'ascenseur du pont,Brückenaufzug-Steuertafel-Teile,Componenti del pannello di controllo del ponte mobile,Piezas del panel de control del elevador del puente,Peças do Painel de Controle do Elevador da Ponte,Детали панели управления мостом,ชิ้นส่วน​แผง​ควบคุม​ลิฟต์​สะพาน,Mảnh Bảng Điều Khiển Thang Máy,Bagian Panel Kontrol Elevator Jembatan
落草,落草,Brigand's Calling,落草,반항,L'appel du brigand,Banditenruf,Vocazione da brigante,Llamado del bandido,Convocação do Bandido,Призвание разбойника,เสียง​เพรียก​แห่ง​โจร,Tiếng Gọi Đạo Tặc,Brigand’s Calling
易碎源石树枝,易碎源石樹枝,Brittle Originium Branch,"<p=""オリジニウム"" padding=0>源石</p>の細枝",깨지기 쉬운 오리지늄 나뭇가지,Branche d'originium fragile,Brüchiger Originium-Zweig,Ramo di Originium fragile,Rama frágil de Originio,Galho de Originium Frágil,Хрупкая ориджиниевая ветвь,กิ่ง​ออ​ริ​จิ​เนียม​เปราะบาง,Nhánh Originium Giòn,Cabang Originium Rapuh
损坏的移动终端,損壞的行動終端,Broken Handyterm,壊れたモバイル端末,파손된 이동 단말기,Terminal mobile cassé,Kaputtes Mobilterminal,Terminale portatile rotto,Terminal portátil roto,Terminal Portátil Quebrado,Сломанный мини-терминал,แฮน​ดี​เ​ทิ​ร์​ม​ชำรุด,Thiết Bị Cầm Tay Hỏng,Handyterm Rusak
残暴原生钳兽,殘暴原生鉗獸,Brutal Pincerbeast,凶暴原生鉗獣,브루탈 핀서비스트,Tenailleur brutal,Brutales Zangenbiest,Bestia chelata brutale,Bestia pinza brutal,Besta Garras de Foice Brutal,Свирепый зверохват,พิน​เซอร์​บี​ส​ต์​ป่าเถื่อน,Thú Kẹp Tàn Bạo,Brutal Pincerbeast
奶茶店商人,奶茶店商人,bubbletea_trade,ミルクティー店商人,밀크티 가게 상인,Marchand de Bubble Tea,Bubble-Tea-Händler,Mercante di Bubble Tea,comerciante de té de burbujas,Comerciante de Bubble Tea,торговец чайной,พ่อค้าชานมไข่มุก,Thương Nhân Trà Sữa,Pedagang Bubble Tea
精选荞愈胶囊,精選蕎癒膠囊,Buck Capsule [A],蕎花カプセルⅢ,메밀꽃 치유 캡슐(대),Capsule Revigor [A],Buchweizen-Pille [A],Capsula di arcofiore (A),Cápsulas de floracina [A],Cápsula de Cervina [A],Гречекапсула [A],แคปซูล​บัค​ [A],Thuốc Kiều Mạch [A],Kapsul Buck [A]
优质荞愈胶囊,優質蕎癒膠囊,Buck Capsule [B],蕎花カプセルⅡ,메밀꽃 치유 캡슐(중),Capsule Revigor [B],Buchweizen-Pille [B],Capsula di arcofiore (B),Cápsulas de floracina [B],Cápsula de Cervina [B],Гречекапсула [B],แคปซูล​บัค​ [B],Thuốc Kiều Mạch [B],Kapsul Buck [B]
荞愈胶囊,蕎癒膠囊,Buck Capsule [C],蕎花カプセルⅠ,메밀꽃 치유 캡슐,Capsule Revigor [C],Buchweizen-Pille [C],Capsula di arcofiore (C),Cápsulas de floracina [C],Cápsula de Cervina [C],Гречекапсула [C],แคปซูล​บัค​ [C],Thuốc Kiều Mạch [C],Kapsul Buck [C]
荞花,蕎花,Buckflower,蕎花,메밀꽃,Cabranthe,Buchweizenblume,Arcofiore,Floracina,Flor de Cervina,Гречецвет,ดอก​บัค​วีท,Hoa Kiều Mạch,Buckflower
荞花田块,蕎花田塊,Buckflower Plot,蕎花畑,메밀꽃 논배미,Parcelle de cabranthe,Buchweizenblumen-Beet,Terreno per arcofiore,Terreno de floracina,Lote de Flor de Cervina,Участок гречецвета,แปลง​ดอก​บัค​วีท,Ô Đất Hoa Kiều Mạch,Petak Buckflower
荞花粉末,蕎花粉末,Buckflower Powder,蕎花粉末,메밀꽃 가루,Poudre de cabranthe,Buchweizenblumen-Pulver,Polvere di arcofiore,Polvo de floracina,Pó de Flor de Cervina,Молотый гречецвет,ผง​ดอก​บัค​วีท,Bột Hoa Kiều Mạch,Bubuk Buckflower
荞花种子,蕎花種子,Buckflower Seed,蕎花の種,메밀꽃 씨앗,Graine de cabranthe,Buchweizenblumen-Saat,Seme di arcofiore,Semilla de floracina,Semente de Flor de Cervina,Семя гречецвета,เมล็ด​ดอก​บัค​วีท,Hạt Hoa Kiều Mạch,Benih Buckflower
大瓶荞复锭剂,大瓶蕎復錠劑,Buckpill [L],火映蕎花錠剤Ⅱ,메밀꽃 회복제(대),Revigorite [G],Buchweizen-Pille [L],Pillola di arcofiore (L),Píldorafloracina [G],Pílula de Cervina [G],Гречепилюля [бол.],บัค​พิล​ล์​ [L],Thuốc Kiều Mạch [Lớn],Buckpill [L]
精选荞复锭剂,精選蕎復錠劑,Buckpill [Rf.],火映蕎花錠剤Ⅲ,메밀꽃 회복제(특),Revigorite [Rf.],Buchweizen-Pille [Rf.],Pillola di arcofiore (raf.),Píldorafloracina [Rf.],Pílula de Cervina [Rf.],Гречепилюля [очищ.],บัค​พิล​ล์​ [Rf.],Thuốc Kiều Mạch [Rf.],Buckpill [Rf.]
小瓶荞复锭剂,小瓶蕎復錠劑,Buckpill [S],火映蕎花錠剤Ⅰ,메밀꽃 회복제(소),Revigorite [P],Buchweizen-Pille [S],Pillola di arcofiore (S),Píldorafloracina [P],Pílula de Cervina [P],Гречепилюля [мал.],บัค​พิล​ล์​ [S],Thuốc Kiều Mạch [Nhỏ],Buckpill [S]
虫粉饼干·升级,蟲粉餅乾·升級,Bugtack Upgrade,プロテインパン（強化）,단백질 과자 · 업그레이드,Amélioration de biscuit d'insectes,Verbesserung: Käfer-Keks,Potenziamento: galletta di insetti,Mejora de galleta de bicho,Upgrade de Cracker de Insetos,Улучшение жучьей галеты,อัป​เกรด​บั๊​ก​แทค,Nâng Cấp Bánh Quy Bọ,Upgrade untuk Bugtack
不归林,不歸林,Bugui Grove,不帰林,불귀림,Bois de Bugui,Bugui-Hain,Boschetto Bugui,Arboleda Bugui,Bosque de Bugui,Роща Бугуй,ป่า​ปู้​กุ้​ย,Rừng Bất Quy,Belukar Bugui
援建材料厂,援建材料廠,Building Supplies Factory,建設支援工場,건설 지원 자재 공장,Usine de matériaux de construction,Baumaterialfabrik,Fabbrica di risorse da costruzione,Fábrica de materiales,Fábrica de Materiais,Завод стройматериалов,โรงงาน​วัสดุก่อสร้าง,Xưởng Vật Liệu Xây Dựng,Pabrik Persediaan Bangunan
膨地啪,膨地啪,Bumper-Rich,ポンポン肥料,팽지박,Super engrais,Erntesegen,Fertil-Boom,Fertisiembra,Lama Enriquecida,Урожайный бум,บัม​เปอร์​-​ริช,Giàu Dinh Dưỡng,Bumper-Rich
一捆竹子,一捆竹子,Bundle of Bamboo,竹の束,대나무 묶음,Paquet de bambou,Bambusbündel,Fascio di bambù,Manojo de bambú,Feixe de Bambu,Связка бамбука,มัด​ไม้​ไผ่,Bó Tre,Seikat Bambu
驮兽粪便,馱獸糞便,Burdo-Muck,駄獣のフン,버든비스트의 배설물,Fumier de bête de somme,Burdo-Mist,Letame di bestia da soma,Lodo Burdo,Lama de Besta de Carga,Навоз вьючника,มูล​เบอร์​โด,Phân Đà Thú,Burdomuck
驮鼻山,馱鼻山,Burdosnout Hill,駄鼻山,태비산,Colline de Burdogroin,Bestienschnauz-Hügel,Colle del corno,Colina de Burdosnout,Colina Foscínia,Холм Звериного Носа,เนินเขา​เบอร์​โดส​เนา​ท์,Đồi Burdosnout,Bukit Moncong Burdo
选剑局器物库,選劍局器物庫,Bureau Arsenal,選剣局器具庫,선검국 설비 창고,Arsenal du Bureau,Behördenarsenal,Arsenale del Dipartimento,Arsenal de la Agencia,Arsenal do Bureau,Арсенал бюро,คลังแสง​ของ​สำนัก,Cục Kho Vũ Khí,Gudang Senjata Biro
技术开发局,技術開發局,Bureau of Applied Technologies,技術開発局,기술 개발국,Bureau de technologie appliquée,Büro für Angewandte Technologien,Dipartimento di tecnologia applicata,Oficina de Tecnologías aplicadas,Bureau de Tecnologias Aplicadas,Бюро прикладных технологий,สำนักงาน​เทคโนโลยี​ประยุกต์,Cục Phát Triển Công Nghệ,Biro Teknologi Terapan
选剑局,選劍局,Bureau of Swordmancers,選剣局,선검국,Bureau des spadamanciens,Schwertkämpfer-Behörde,Dipartimento degli Spadamanti,Agencia de Espadachines,Bureau dos Espadeiros,Бюро мастеров меча,สำนัก​นัก​ดาบ​เวท,Cục Kiếm Sĩ Hongshan,Biro Swordmancer
堡堡之旅,堡堡之旅,Burger Journey,バーガーの旅,보보의 여정,Périple du burger,Burgerreise,Viaggio nei burger,Viaje de hamburguesas,Jornada de Burger,Путешествие бургера,การ​เดินทาง​ของ​เบอร์เกอร์,Hành Trình Burger,Wisata Burger
菜谱征集单,食譜徵集單,Call for Recipes,レシピ募集のチラシ,레시피 공모지,Demande de recettes,Rezepte gesucht,Richiesta di ricette,Convocatoria de recetas,Pedido de Receitas,Сбор рецептов,เชิญ​ส่ง​สูตร​อาหาร,Kêu gọi công thức,Permintaan Resep
滤镜,濾鏡,Camera: Filters,フィルター,필터,Appareil photo : filtres,Kamera: Filter,Fotocamera: filtri,Cámara: Filtros,Câmera: Filtros,Камера: фильтры,กล้อง​: ฟิลเตอร์,Camera: Bộ Lọc,Kamera: Filter
贴纸,貼紙,Camera: Stickers,ステッカー,스티커,Appareil photo : autocollants,Kamera: Sticker,Fotocamera: adesivi,Cámara: Calcomanías,Câmera: Adesivos,Камера: стикеры,กล้อง​: สติกเกอร์,Camera: Nhãn Dán,Kamera: Stiker
卡缪,卡繆,Camille,カミーユ,카뮤,Camille,Camille,Camille,Camille,Camille,Камиль,คา​มิลล์,Camille,Camille
卡缪的信物,卡繆的信物,Camille's Token,カミーユの印,카뮤의 증표,Jeton de Camille,Camilles Token,Gettone di Camille,Ficha de Camille,Símbolo de Camille,Жетон Камиля,โท​เคน​ของ​คา​มิลล์,Tín Vật Của Camille,Token Camille
依依难舍奖章,依依不捨獎章,Can't Do Without It,かけがえのない存在勲章,헤어지기 아쉬운 마음 훈장,Impossible sans ça,Zwingend notwendig,Indispensabile,No se puede lograr sin ella,Não Posso Viver Sem Ela,Без этого никак,ขาดไม่ได้,Không Thể Thiếu Nó,Harus Ada
水渠机关,水渠機關,Canal Mechanism,水路調整装置,수로 장치,Mécanisme de canal,Kanal-Mechanismus,Meccanismo del canale,Mecanismo del canal,Mecanismo do Canal,Вращательный механизм канала,กลไก​คลอง,Cơ Chế Kênh Đào,Mekanisme Kanal
沧贼,滄賊,Cangzei Pirates,滄賊,창적,Pirates cangzei,Cangzei-Piraten,Pirati di Cangzei,Piratas Cangzei,Piratas Cangzei,Разбойники-цанцзэй,โจรสลัด​คัง​เซย,Hải Tặc Cangzei,Perompak Cangzei
精选柑实罐头,精選柑實罐頭,Canned Citrome [A],シトロームの缶詰Ⅲ,시트론 통조림(대),Citromes en conserve [A],Dosen-Zitromen [A],Citromi in scatola (A),Citroma enlatado [A],Citroma Enlatada [A],Консерв. цитром [A],ส้ม​ซิ​โตร​มก​ระ​ป๋อง​ [A],Cam Đóng Hộp [A],Citrome Kalengan [A]
优质柑实罐头,優質柑實罐頭,Canned Citrome [B],シトロームの缶詰Ⅱ,시트론 통조림(중),Citromes en conserve [B],Dosen-Zitromen [B],Citromi in scatola (B),Citroma enlatado [B],Citroma Enlatada [B],Консерв. цитром [B],ส้ม​ซิ​โตร​มก​ระ​ป๋อง​ [B],Cam Đóng Hộp [B],Citrome Kalengan [B]
柑实罐头,柑實罐頭,Canned Citrome [C],シトロームの缶詰Ⅰ,시트론 통조림,Citromes en conserve [C],Dosen-Zitromen [C],Citromi in scatola (C),Citroma enlatado [C],Citroma Enlatada [C],Консерв. цитром [C],ส้ม​ซิ​โตร​มก​ระ​ป๋อง​ [C],Cam Đóng Hộp [C],Citrome Kalengan [C]
碳块,碳塊,Carbon,炭塊,카본 조각,Carbone,Carbon,Carbonio,Carbono,Carbono,Углерод,คาร์บอน,Carbon,Karbon
碳粉末,碳粉末,Carbon Powder,炭塊粉末,카본 가루,Poudre de carbone,Carbon-Pulver,Polvere di carbonio,Polvo de carbono,Pó de Carbono,Молотый углерод,ผง​คาร์บอน,Bột Carbon,Bubuk Karbon
心枢,心樞,Cardiac Nexus,心枢,마음의 중추,Nœud cardiaque,Herz-Nexus,Nexus cardiaco,Nexus cardíaco,Nexus Cardíaco,Нексус сердца,ศูนย์กลาง​ดวงใจ,Trái Tim Trung Tâm,Nexus Jantung
卡莉的童话集,卡莉的童話集,Carly's Fairytale,カーリーの童話集,칼리의 동화집,Les contes de fées de Carly,Carlys Märchen,La fiaba di Carly,Cuento de hadas de Carly,Conto de Fadas de Carly,Сказка Карли,นิทาน​ของ​คาร์​ลี,Câu Chuyện Cổ Tích về Carly,Dongeng Carly
卡莉的墨绘集,卡莉的墨繪集,Carly's Ink Painting Book,カーリーの水墨画集,칼리의 수묵화집,Carnet de peinture à l'encre de Carly,Carlys Tuschemalerei-Buch,Libro dei disegni di Carly,Libro de pintura con tinta de Carly,Livro de Pinturas de Carly,Альбом Карли с рисунками тушью,สมุดภาพ​วาด​หมึก​ของ​คาร์​ลี,Sách Tô Mực Của Carly,Buku Lukisan Tinta Carly
软骨碎屑,軟骨碎屑,Cartilage Bit,軟骨の粉屑,연골 분말,Morceau de cartilage,Knorpelkonserve,Pezzo di cartilagine,Fragmento de cartílago,Pedaço de Cartilagem,Кусочки хряща,เศษ​กระดูกอ่อน,Mảnh Sụn,Serpihan Tulang Rawan
软骨饼干,軟骨餅乾,Cartilage Tack,軟骨入りサブレ,연골 과자,Biscuit au cartilage,Knorpel-Keks,Galletta di cartilagine,Galleta cartilaginosa,Cracker de Cartilagem,Хрящевая галета,คุกกี้​กระดูกอ่อน,Bánh Quy Sụn,Kraker Tulang Rawan
软骨饼干·升级,軟骨餅乾·升級,Cartilage Tack Upgrade,軟骨入りサブレ（強化）,연골 과자 · 업그레이드,Amélioration de biscuit au cartilage,Verbesserung: Knorpel-Keks,Potenziamento: galletta di cartilagine,Mejora de galleta cartilaginosa,Upgrade de Cracker de Cartilagem,Улучшение хрящевой галеты,อัป​เกรด​คุกกี้​กระดูกอ่อน,Nâng Cấp Bánh Quy Sụn,Upgrade untuk Kraker Tulang Rawan
雪中滑翔,雪中滑翔,Carving Through the Snow,白銀を舞う,눈 위를 가르는 비행,Chemin dans la neige,Den Schnee durchpflügen,Scie nella neve,Tallando a través de la nieve,Esculpindo a Neve,Трудный путь сквозь снег,ฝ่า​หิมะ​ขาว,Xẻ Dọc Trời Tuyết,Membelah Salju
强固模具,強固模具,Cast Die,硬質金型,모형 틀,Matrice de fonderie,Gussform,Matrice per pressofusione,Molde de fundición,Molde de Fundição,Литейная форма,แม่พิมพ์​หล่อ,Khuôn Đúc,Cetakan Cor
伊冯的随手笔记,伊馮的隨手筆記,Casual Notes from Yvonne,イヴォンヌが適当に書いたメモ,이본의 임시 노트,Notes informelles d'Yvonne,Kurze Notizen von Yvonne,Appunti informali di Yvonne,Notas casuales de Yvonne,Notas Casuais de Yvonne,Повседневные записки Ивонны,บันทึก​ส​บา​ยๆ​ ที่​จัดทำ​โดย​ อี​วอน,Ghi Chú Thông Thường từ Yvonne,Catatan Santai dari Yvonne
天灾防护滤芯,天災防護濾心,Catastrophe Filter,天災防護フィルター,재앙 방호 필터,Filtre de catastrophe,Katastrophenfilter,Filtro catastrofe,Filtro de la catástrofe,Filtro para Catástrofes,Фильтр «Катастрофа»,เครื่องกรอง​สำหรับ​ภัยพิบัติ,Bộ Lọc Thảm Họa,Filter Catastrophe
天灾防护净芯,天災防護淨芯,Catastrophe Gauze Cartridge,天災防護カートリッジ,재앙 방호 정화 코어,Cartouche de gaze de catastrophe,Katastrophen-Verbandkassette,Cartuccia di garze catastrofe,Cartucho de gasas para Catástrofes,Cartucho de Gaze para Catástrofes,Марлевый картридж «Катастрофа»,ตลับ​ผ้าก๊อซ​ภัยพิบัติ,Hộp Băng Y Tế Thảm Họa,Wadah Perban Catastrophe
天灾防护净芯·壹型,天災防護淨芯·I,Catastrophe Gauze Cartridge T1,天災防護カートリッジⅠ,재앙 방호 정화 코어 · I,Cartouche de gaze de catastrophe G1,Katastrophen-Verbandkassette S1,Cartuccia di garze catastrofe O1,Cartucho de gasas para Catástrofes T1,Cartucho de Gaze para Catástrofes T1,Марлевый картридж «Катастрофа» К1,ตลับ​ผ้าก๊อซ​ภัยพิบัติ​ T1,Hộp Băng Y Tế Thảm Họa T1,Wadah Perban Catastrophe T1
天灾防护手套,天災防護手套,Catastrophe Gloves,天災防護グローブ,재앙 방호 장갑,Gants de catastrophe,Katastrophenhandschuhe,Guanti catastrofe,Guantes de la catástrofe,Luvas para Catástrofes,Перчатки «Катастрофа»,ถุงมือ​สำหรับ​ภัยพิบัติ,Găng Tay Thảm Họa,Sarung Tangan Catastrophe
天灾防护重甲,天災防護重甲,Catastrophe Heavy Armor,天災防護重防具,재앙 방호 중갑,Armure lourde de catastrophe,Schwere Katastrophenrüstung,Armatura pesante catastrofe,Armadura pesada de la catástrofe,Armadura Pesada para Catástrofes,Тяжелая броня «Катастрофа»,เกราะ​หนัก​สำหรับ​ภัยพิบัติ,Giáp Hạng Nặng Thảm Họa,Armor Berat Catastrophe
天灾防护重甲·壹型,天災防護重甲·I,Catastrophe Heavy Armor T1,天災防護重防具Ⅰ,재앙 방호 중갑 · I,Armure lourde de catastrophe G1,Schwere Katastrophenrüstung S1,Armatura pesante catastrofe O1,Armadura pesada de la catástrofe T1,Armadura Pesada para Catástrofes T1,Тяжелая броня «Катастрофа» К1,เกราะ​หนัก​สำหรับ​ภัยพิบัติ​ T1,Giáp Hạng Nặng Thảm Họa T1,Armor Berat Catastrophe T1
卡契尔,卡契爾,Catcher,キャッチャー,카치르,Catcher,Catcher,Catcher,Catcher,Catcher,Кэтчер,แคท​เชอร์,Catcher,Catcher
卡契尔的信物,卡契爾的信物,Catcher's Token,キャッチャーの印,카치르의 증표,Jeton de Catcher,Catchers Token,Gettone di Catcher,Ficha de Catcher,Símbolo de Catcher,Жетон Кэтчера,โท​เคน​ของ​แคท​เชอร์,Tín Vật Của Catcher,Token Catcher
尾尖金甲,尾尖金甲,Caudal Goldscale,尾先の金鱗,꼬리 금갑,Écaille d'or caudale,Goldene Schwanzschuppe,Scaglia caudale dorata,Escama dorada caudal,Escama Dourada Caudal,Золотая хвостовая чешуя,เกล็ด​ทอง​ส่วน​หาง,Vảy Đuôi Hoàng Kim,Sisik Emas Kaudal
栈桥道,棧橋道,Causeway Trail,陸橋道,잔교길,Chemin surélevé,Dammpfad,Sentiero rialzato,Sendero de la Calzada,Trilha do Passeio,Мощеная тропа,เส้นทาง​ยกระดับ,Lối Mòn Đê Đá,Jalur Jalan Landasan
庆祝宴会的通知,慶祝宴會的通知,Celebration Notice,お祝い会のお知らせ,축하 파티 공지,Avis de fête,Partyhinweis,Avviso di festeggiamenti,Aviso de celebración,Aviso de Celebração,Уведомление о праздновании,ประกาศ​งานเฉลิมฉลอง,Thông Báo Ăn Mừng,Pemberitahuan Perayaan
天柱,天柱,Celestial Column,天柱,천주,Colonne céleste,Himmelssäule,Colonna celestiale,Columna celestial,Coluna Celestial,Небесная колонна,เสา​ค้ำฟ้า,Thiên Trụ,Tonggak Langit
天空观测记录（四号谷地）,天空觀測紀錄（四號谷地）,Celestial Observation Log (Valley IV),天空の観察記録（四号谷地）,천문 관측 기록(4번 협곡),Journal d'observation céleste (Vallée-IV),Himmelsbeobachtungslogbuch (Tal IV),Registro di osservazione della volta celeste (Valle IV),Registro de observación celeste (Valle IV),Log de Observação Celestial (Vale IV),Журнал астрономических наблюдений (Долина IV),บันทึก​การ​สังเกต​ฟากฟ้า​ (หุบเขา​ IV),Nhật Ký Quan Sát Thiên Văn (Thung Lũng IV),Log Pengamatan Langit (Lembah IV)
中央环厅,中央環廳,Central Ring,中央ホール,중앙 홀,Espace central,Zentralring,Anello centrale,Anillo Central,Anel Central,Центральное кольцо,วงแหวน​ส่วนกลาง,Khoang Trung Tâm,Ring Pusat
百年陈皮,百年陳皮,Century Rind,百年陳皮,백년 숙성 진피,Écorce centenaire,Jahrhundertschale,Scorza secolare,Corteza centenaria,Casca Secular,Вековая кожура,เปลือก​ร้อย​ปี,Trần Bì Trăm Năm,Kulit Buah Seabad
冠军钻探器,冠軍鑽探器,Champion Drill Crawler,最強ドリルマシンの模型,우승자 드릴,Foreuse sur chenilles inégalée,Champion-Bohrwagen,Trivella campione,Taladro perforador Campeón,Escavadeira Multiuso Champion,Гусеничный бур-защитник,รถขุด​เจาะ​ตีนตะขาบ​แชมป์เปี้ยน,Máy Khoan Bánh Xích Vô Địch,Traktor Bor Juara
液面升降,液面升降,Changing Fluid Levels,水位の調整,수면의 높이를 조절하기,Niveaux de fluide changeants,Flüssigkeitsstand ändern,Cambiare i livelli dei liquidi,Cambio de niveles de fluido,Alteração nos Níveis de Fluido,Изменение уровня жидкости,การ​เปลี่ยน​ระดับ​ของเหลว,Thay Đổi Mức Chất Lỏng,Mengubah Ketinggian Cairan
蓄能爆发芯片,蓄能爆發晶片,Charge Burst Chip,エネルギー爆発チップ,에너지 충전 폭발 칩,Puce d'assaut explosif,Aufgeladene Explosion – Chip,Chip della carica esplosiva,Chip de ráfaga de carga,Chip de Explosão de Carga,Чип взрыва заряда,ชิป​การ​ชาร์จ​ระเบิด​พลัง,Chip Năng Lượng Bùng Nổ,Chip Semburan Kekuatan
